Account,sentiment_bucket,days,trades,gross_pnl,win_rate,avg_trade_size_usd
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,22,6327,296044.39622,0.8118881485578109,29994.57678567569
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,10,3392,163047.66494599998,0.8894993894993894,25470.6844235503
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,7,2517,381330.49405000004,0.9798488664987405,23137.489983805175
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,22,502,4077.617669,0.9184027777777778,996.8322081007453
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,20,412,103395.47818,1.0,760.587883652069
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,5,61,1258.120923,1.0,722.9881445887446
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,11,820,-24239.752261000005,0.4423076923076923,8714.69367483177
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,7,691,453595.318176,0.6,11539.31490865286
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,1,79,0.0,,1341.7722784810126
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,20,652,343414.90621,0.769022154316272,2924.038900391729
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,35,715,21651.302288000003,1.0,6010.180774110938
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,10,57,-4526.698469,0.0,3588.561203968254
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,31,1980,75037.113718,0.9032862989962926,3671.042251995761
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,92,6449,306664.249464,0.885426112846447,3542.9840711157544
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,23,1464,-2605.9564709999995,0.830329872405619,2172.0744360625235
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,7,1369,7259.374451000001,0.921559805024372,4022.751525060826
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,15,86,8036.124574,1.0,6162.454607670107
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,4,104,-395.05597800000004,0.6363636363636364,13791.723789007094
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,46,1904,164006.22599,0.8843878942420008,3509.8171766238065
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,25,1751,-379237.811515,0.5863466997952702,1565.2820574764824
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,21,946,47610.460743999996,0.6800729720479952,2639.218766952337
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,8,104,-4567.081028,0.75,3606.2727725150753
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,31,377,57120.628976,0.7166666666666667,5290.392059222604
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,15,1430,12960.109958,0.9418061560063555,6853.804757004954
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,53,2013,11073.794334,0.9338878567740182,909.0376390793137
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,96,10790,32034.871924999996,0.856929571485246,843.8709329133804
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,25,2195,808.342717,0.7205986265196792,671.9645594469945
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,6,259,2804.41589,0.5,29954.617227089784
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,11,2748,123774.52624400001,0.9918414918414918,3223.4166093999524
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,1,45,0.0,,9481.510444444444
